timestamp, 1: Main Valve, 2: Secondary Valve
2026-01-01T13:53:48.599091, OPEN, CLOSED
2026-01-01T13:53:51.908101, OPEN, CLOSED
2026-01-01T13:53:53.607732, OPEN, CLOSED
2026-01-01T13:53:55.004281, OPEN, OPEN
2026-01-01T13:57:39.256340, CLOSED, OPEN
2026-01-01T13:57:40.466691, CLOSED, OPEN
2026-01-01T13:57:41.476532, OPEN, OPEN
2026-01-01T13:57:42.562735, OPEN, OPEN
2026-01-01T13:57:44.203305, CLOSED, OPEN
2026-01-01T13:57:44.433831, OPEN, OPEN
2026-01-01T13:57:45.987315, OPEN, OPEN
2026-01-01T13:57:47.276183, OPEN, OPEN
2026-01-01T13:57:48.546165, OPEN, OPEN
2026-01-01T14:02:30.922337, CLOSED, OPEN
2026-01-01T14:05:04.631314, CLOSED, OPEN
2026-01-01T14:05:06.159090, OPEN, OPEN
2026-01-01T14:05:09.263900, CLOSED, OPEN
2026-01-01T14:05:11.020602, CLOSED, CLOSED
2026-01-01T14:05:12.617187, OPEN, CLOSED
2026-01-01T14:05:14.185270, CLOSED, CLOSED
2026-01-01T14:05:16.470486, OPEN, CLOSED
2026-01-01T14:05:17.643960, CLOSED, CLOSED
2026-01-01T14:05:19.121199, CLOSED, OPEN
2026-01-01T14:05:20.280289, CLOSED, CLOSED
2026-01-01T14:17:46.231239, CLOSED, OPEN
2026-01-01T14:17:50.110645, OPEN, OPEN
2026-01-01T14:17:52.413960, OPEN, CLOSED
2026-01-01T14:17:54.255556, CLOSED, CLOSED
2026-01-01T14:17:56.031060, CLOSED, OPEN
2026-01-01T14:18:51.099751, CLOSED, OPEN
2026-01-01T14:18:52.673541, OPEN, OPEN
2026-01-01T14:18:54.011472, CLOSED, OPEN
2026-01-01T14:18:55.298012, CLOSED, CLOSED
2026-01-01T14:18:56.633620, CLOSED, OPEN
2026-01-01T14:18:57.870555, OPEN, OPEN
2026-01-01T14:19:00.624931, CLOSED, OPEN
2026-01-01T14:19:02.557609, CLOSED, CLOSED
2026-01-01T14:19:05.645885, CLOSED, OPEN
2026-01-01T14:19:06.970425, OPEN, OPEN
2026-01-01T14:19:08.818769, OPEN, CLOSED
2026-01-01T14:19:10.456404, OPEN, OPEN
2026-01-01T14:19:11.593311, CLOSED, OPEN
2026-01-01T14:19:13.079869, CLOSED, CLOSED
2026-01-01T14:19:14.939775, CLOSED, OPEN
2026-01-01T14:19:16.306678, OPEN, OPEN
2026-01-01T14:19:17.864196, OPEN, CLOSED
2026-01-01T14:19:19.206557, OPEN, OPEN
2026-01-01T14:19:49.422198, CLOSED, OPEN
2026-01-01T14:19:50.566849, OPEN, OPEN
2026-01-01T14:19:51.818562, CLOSED, OPEN
2026-01-01T14:19:53.030937, CLOSED, CLOSED
2026-01-01T14:19:54.432651, CLOSED, OPEN
2026-01-01T14:19:56.082716, OPEN, OPEN
2026-01-01T14:19:57.674996, CLOSED, OPEN
2026-01-01T14:19:59.213204, CLOSED, CLOSED
2026-01-01T14:20:00.904276, CLOSED, OPEN
2026-01-01T14:20:02.265747, OPEN, OPEN
2026-01-01T14:20:03.882553, OPEN, CLOSED
2026-01-01T14:20:05.372308, CLOSED, CLOSED
2026-01-01T14:21:01.417158, OPEN, CLOSED
2026-01-01T14:21:02.813346, OPEN, OPEN
2026-01-01T14:21:04.155804, OPEN, CLOSED
2026-01-01T14:21:05.392184, CLOSED, CLOSED
2026-01-01T14:21:06.574714, OPEN, CLOSED
2026-01-01T14:21:07.565678, CLOSED, CLOSED
2026-01-01T14:21:08.930375, CLOSED, OPEN
2026-01-01T14:21:10.239949, CLOSED, CLOSED
2026-01-01T14:21:11.573716, OPEN, CLOSED
2026-01-01T14:21:12.786127, CLOSED, CLOSED
2026-01-01T14:23:17.011451, OPEN, CLOSED
2026-01-01T14:23:25.558567, OPEN, CLOSED
2026-01-01T15:41:01.304376, OPEN, CLOSED
2026-01-01T15:41:08.778647, OPEN, CLOSED
2026-01-01T20:41:08.796609, CLOSED, OPEN
2026-01-01T20:41:09.798174, CLOSED, CLOSED
2026-01-01T20:41:11.364955, CLOSED, OPEN
2026-01-01T20:41:12.366004, CLOSED, CLOSED
2026-01-01T20:41:13.429822, CLOSED, OPEN
2026-01-01T20:41:14.431257, CLOSED, CLOSED
2026-01-01T20:41:15.283453, CLOSED, OPEN
2026-01-01T20:41:16.286206, CLOSED, CLOSED
2026-01-01T20:41:17.344267, CLOSED, OPEN
2026-01-01T20:41:18.345548, CLOSED, CLOSED
2026-01-01T20:41:19.683888, CLOSED, OPEN
2026-01-01T20:41:20.685649, CLOSED, CLOSED
2026-01-01T20:41:22.084995, OPEN, CLOSED
2026-01-01T20:41:23.087874, CLOSED, CLOSED
2026-01-01T20:41:24.347564, OPEN, CLOSED
2026-01-01T20:41:25.348871, CLOSED, CLOSED
2026-01-01T20:41:26.583166, OPEN, CLOSED
2026-01-01T20:41:27.584566, CLOSED, CLOSED
2026-01-01T20:41:28.838904, OPEN, CLOSED
2026-01-01T20:41:29.840636, CLOSED, CLOSED
2026-01-01T20:41:30.855275, OPEN, CLOSED
2026-01-01T20:41:31.856369, CLOSED, CLOSED
2026-01-01T20:41:32.924458, OPEN, CLOSED
2026-01-01T20:41:33.925679, CLOSED, CLOSED
2026-01-01T20:41:52.844668, CLOSED, OPEN
2026-01-01T20:41:53.847408, CLOSED, CLOSED
2026-01-01T20:42:01.126240, CLOSED, OPEN
2026-01-01T20:42:02.127372, CLOSED, CLOSED
2026-01-01T20:42:06.003828, CLOSED, OPEN
2026-01-01T20:42:07.005077, CLOSED, CLOSED
2026-01-01T20:42:07.975008, CLOSED, OPEN
2026-01-01T20:42:08.976614, CLOSED, CLOSED
2026-01-01T20:45:34.007683, OPEN, CLOSED
2026-01-01T20:45:35.008833, CLOSED, CLOSED
2026-01-01T20:45:36.254555, OPEN, CLOSED
2026-01-01T20:45:37.255973, CLOSED, CLOSED
2026-01-01T20:45:40.680232, CLOSED, OPEN
2026-01-01T20:45:41.683001, CLOSED, CLOSED
2026-01-01T20:45:55.757675, OPEN, CLOSED
2026-01-01T20:45:56.759038, CLOSED, CLOSED
2026-01-01T20:47:45.270516, CLOSED, OPEN
2026-01-01T20:47:46.271594, CLOSED, CLOSED
2026-01-01T20:47:47.118303, CLOSED, OPEN
2026-01-01T20:47:48.119896, CLOSED, CLOSED
2026-01-01T20:49:30.291922, CLOSED, OPEN
2026-01-01T20:49:31.293830, CLOSED, CLOSED
2026-01-01T20:49:32.315246, OPEN, CLOSED
2026-01-01T20:49:33.316438, CLOSED, CLOSED
2026-01-01T21:01:17.663199, CLOSED, OPEN
2026-01-01T21:01:19.476651, CLOSED, CLOSED
2026-01-01T21:01:20.925270, CLOSED, OPEN
2026-01-01T21:01:21.926914, CLOSED, CLOSED
2026-01-01T21:01:23.798071, CLOSED, OPEN
2026-01-01T21:01:24.800051, CLOSED, CLOSED
2026-01-01T21:01:26.620436, OPEN, CLOSED
2026-01-01T21:01:27.622154, CLOSED, CLOSED
2026-01-01T21:01:29.527806, CLOSED, OPEN
2026-01-01T21:01:30.529411, CLOSED, CLOSED
2026-01-01T21:01:31.590792, OPEN, CLOSED
2026-01-01T21:01:32.592392, CLOSED, CLOSED
2026-01-01T21:01:33.791634, CLOSED, OPEN
2026-01-01T21:01:34.792975, CLOSED, CLOSED
2026-01-01T21:01:35.974664, OPEN, CLOSED
2026-01-01T21:01:36.975862, CLOSED, CLOSED
2026-01-01T21:01:38.059524, CLOSED, OPEN
2026-01-01T21:01:39.060989, CLOSED, CLOSED
2026-01-01T21:01:40.496023, OPEN, CLOSED
2026-01-01T21:01:41.497603, CLOSED, CLOSED
2026-01-01T21:01:44.581147, CLOSED, OPEN
2026-01-01T21:01:45.582724, CLOSED, CLOSED
2026-01-01T21:01:47.248246, OPEN, CLOSED
2026-01-01T21:01:48.249265, CLOSED, CLOSED
2026-01-01T21:03:42.427972, CLOSED, OPEN
2026-01-01T21:03:48.193998, OPEN, OPEN
2026-01-01T21:03:50.599054, CLOSED, OPEN
2026-01-01T21:03:54.004045, CLOSED, CLOSED
2026-01-01T21:03:55.005409, CLOSED, OPEN
2026-01-01T21:04:00.836297, CLOSED, CLOSED
2026-01-01T21:08:27.077155, CLOSED, OPEN
2026-01-01T21:08:28.567308, CLOSED, CLOSED
2026-01-01T21:08:30.061139, CLOSED, OPEN
2026-01-01T21:08:31.061956, CLOSED, CLOSED
2026-01-01T21:33:24.551958, OPEN, CLOSED
2026-01-01T21:33:26.724337, CLOSED, CLOSED
2026-01-01T21:33:28.134981, OPEN, CLOSED
2026-01-01T21:33:29.139283, CLOSED, CLOSED
2026-01-01T21:33:34.727336, CLOSED, OPEN
2026-01-01T21:33:35.728660, CLOSED, CLOSED
2026-01-01T21:33:37.388985, CLOSED, OPEN
2026-01-01T21:33:38.390238, CLOSED, CLOSED
2026-01-01T21:33:39.840795, CLOSED, OPEN
2026-01-01T21:33:40.844050, CLOSED, CLOSED
2026-01-01T21:33:54.825975, CLOSED, OPEN
2026-01-01T21:33:55.828005, CLOSED, CLOSED
2026-01-01T21:33:56.986745, CLOSED, OPEN
2026-01-01T21:33:57.989312, CLOSED, CLOSED
2026-01-01T21:33:59.258269, CLOSED, OPEN
2026-01-01T21:34:00.259398, CLOSED, CLOSED
2026-01-01T21:34:24.715795, CLOSED, OPEN
2026-01-01T21:34:25.717540, CLOSED, CLOSED
2026-01-01T21:40:52.684217, CLOSED, OPEN
2026-01-01T21:40:53.685466, CLOSED, CLOSED
2026-01-01T21:40:55.301392, OPEN, CLOSED
2026-01-01T21:40:56.302823, CLOSED, CLOSED
2026-01-01T21:40:57.564121, CLOSED, OPEN
2026-01-01T21:40:58.565235, CLOSED, CLOSED
2026-01-01T21:41:00.405482, OPEN, CLOSED
2026-01-01T21:41:01.406842, CLOSED, CLOSED
2026-01-01T21:41:02.617920, CLOSED, OPEN
2026-01-01T21:41:03.620588, CLOSED, CLOSED
2026-01-01T21:41:04.599734, CLOSED, OPEN
2026-01-01T21:41:05.601127, CLOSED, CLOSED
2026-01-01T21:57:30.995994, CLOSED, OPEN
2026-01-01T21:57:31.997130, CLOSED, CLOSED
2026-01-01T21:57:33.435415, OPEN, CLOSED
2026-01-01T21:57:34.436729, CLOSED, CLOSED
2026-01-01T21:57:35.683546, CLOSED, OPEN
2026-01-01T21:57:36.685156, CLOSED, CLOSED
2026-01-01T21:57:38.166593, OPEN, CLOSED
2026-01-01T21:57:39.168229, CLOSED, CLOSED
2026-01-01T21:57:40.351453, OPEN, CLOSED
2026-01-01T21:57:41.353314, CLOSED, CLOSED
2026-01-01T21:57:45.243365, OPEN, CLOSED
2026-01-01T21:57:45.344666, CLOSED, CLOSED
2026-01-01T21:57:47.175255, OPEN, CLOSED
2026-01-01T21:57:47.276545, CLOSED, CLOSED
2026-01-01T21:57:55.683766, OPEN, CLOSED
2026-01-01T21:57:55.785054, CLOSED, CLOSED
2026-01-01T21:57:56.767384, OPEN, CLOSED
2026-01-01T21:57:56.869004, CLOSED, CLOSED
2026-01-01T21:57:57.896273, OPEN, CLOSED
2026-01-01T21:57:57.997867, CLOSED, CLOSED
2026-01-01T21:57:59.224386, OPEN, CLOSED
2026-01-01T21:57:59.326092, CLOSED, CLOSED
2026-01-01T21:58:00.357190, OPEN, CLOSED
2026-01-01T21:58:00.458319, CLOSED, CLOSED
2026-01-01T21:58:01.709842, OPEN, CLOSED
2026-01-01T21:58:01.811560, CLOSED, CLOSED
2026-01-01T21:58:05.708467, OPEN, CLOSED
2026-01-01T21:58:06.710096, CLOSED, CLOSED
2026-01-01T21:58:07.867433, OPEN, CLOSED
2026-01-01T21:58:08.869091, CLOSED, CLOSED
2026-01-01T21:58:10.066516, OPEN, CLOSED
2026-01-01T21:58:11.069046, CLOSED, CLOSED
2026-01-01T21:58:12.216558, OPEN, CLOSED
2026-01-01T21:58:13.218313, CLOSED, CLOSED
2026-01-01T21:58:14.726361, CLOSED, OPEN
2026-01-01T21:58:15.728749, CLOSED, CLOSED
2026-01-01T21:58:17.468276, OPEN, CLOSED
2026-01-01T21:58:18.470011, CLOSED, CLOSED
2026-01-01T21:58:19.945432, CLOSED, OPEN
2026-01-01T21:58:20.946997, CLOSED, CLOSED
2026-01-01T21:58:22.285541, OPEN, CLOSED
2026-01-01T21:58:23.286926, CLOSED, CLOSED
2026-01-01T21:58:24.657160, CLOSED, OPEN
2026-01-01T21:58:25.658685, CLOSED, CLOSED
2026-01-01T21:58:27.133664, OPEN, CLOSED
2026-01-01T21:58:28.134729, CLOSED, CLOSED
2026-01-01T21:58:29.600110, CLOSED, OPEN
2026-01-01T21:58:30.601567, CLOSED, CLOSED
2026-01-01T21:58:31.786955, OPEN, CLOSED
2026-01-01T21:58:32.787964, CLOSED, CLOSED
2026-01-01T21:58:33.913212, CLOSED, OPEN
2026-01-01T21:58:34.914606, CLOSED, CLOSED
2026-01-01T21:58:36.081395, OPEN, CLOSED
2026-01-01T21:58:37.082896, CLOSED, CLOSED
2026-01-01T21:58:38.232533, CLOSED, OPEN
2026-01-01T21:58:39.233943, CLOSED, CLOSED
2026-01-01T21:58:40.344766, OPEN, CLOSED
2026-01-01T21:58:41.345933, CLOSED, CLOSED
2026-01-01T21:58:42.254841, CLOSED, OPEN
2026-01-01T21:58:43.256377, CLOSED, CLOSED
2026-01-01T21:58:44.642831, OPEN, CLOSED
2026-01-01T21:58:45.644133, CLOSED, CLOSED
2026-01-01T21:58:46.818704, CLOSED, OPEN
2026-01-01T21:58:47.820360, CLOSED, CLOSED
2026-01-01T21:58:49.167309, OPEN, CLOSED
2026-01-01T21:58:50.168518, CLOSED, CLOSED
2026-01-01T21:58:51.538508, CLOSED, OPEN
2026-01-01T21:58:52.539717, CLOSED, CLOSED
2026-01-01T21:58:57.668394, CLOSED, OPEN
2026-01-01T21:58:58.669976, CLOSED, CLOSED
2026-01-01T21:58:59.718011, OPEN, CLOSED
2026-01-01T21:59:00.719236, CLOSED, CLOSED
2026-01-01T21:59:01.673400, CLOSED, OPEN
2026-01-01T21:59:02.675325, CLOSED, CLOSED
2026-01-01T21:59:03.624960, OPEN, CLOSED
2026-01-01T21:59:04.625956, CLOSED, CLOSED
2026-01-01T21:59:05.527599, CLOSED, OPEN
2026-01-01T21:59:06.529669, CLOSED, CLOSED
2026-01-01T21:59:07.664785, OPEN, CLOSED
2026-01-01T21:59:08.666362, CLOSED, CLOSED
2026-01-01T21:59:10.077199, CLOSED, OPEN
2026-01-01T21:59:11.079475, CLOSED, CLOSED
2026-01-01T21:59:12.344194, OPEN, CLOSED
2026-01-01T21:59:13.346106, CLOSED, CLOSED
2026-01-01T22:12:21.407183, CLOSED, OPEN
2026-01-01T22:12:22.408435, CLOSED, CLOSED
2026-01-01T22:12:24.047049, CLOSED, OPEN
2026-01-01T22:12:25.048222, CLOSED, CLOSED
2026-01-01T22:12:26.281518, CLOSED, OPEN
2026-01-01T22:12:27.283460, CLOSED, CLOSED
2026-01-01T22:12:28.429216, CLOSED, OPEN
2026-01-01T22:12:29.430258, CLOSED, CLOSED
2026-01-01T22:12:30.666091, CLOSED, OPEN
2026-01-01T22:12:31.670259, CLOSED, CLOSED
2026-01-01T22:12:33.806777, CLOSED, OPEN
2026-01-01T22:12:34.808328, CLOSED, CLOSED
2026-01-01T22:12:36.490956, CLOSED, OPEN
2026-01-01T22:12:37.492216, CLOSED, CLOSED
2026-01-01T22:12:38.474519, CLOSED, OPEN
2026-01-01T22:12:39.476138, CLOSED, CLOSED
2026-01-01T22:12:40.382257, CLOSED, OPEN
2026-01-01T22:12:41.384899, CLOSED, CLOSED
2026-01-01T22:12:42.477997, CLOSED, OPEN
2026-01-01T22:12:43.479449, CLOSED, CLOSED
2026-01-01T22:12:45.819021, CLOSED, OPEN
2026-01-01T22:12:46.820237, CLOSED, CLOSED
2026-01-01T22:12:50.426733, OPEN, CLOSED
2026-01-01T22:12:51.428227, CLOSED, CLOSED
2026-01-01T22:12:52.582078, OPEN, CLOSED
2026-01-01T22:12:53.583648, CLOSED, CLOSED
2026-01-01T22:12:54.835863, CLOSED, OPEN
2026-01-01T22:12:55.837147, CLOSED, CLOSED
2026-01-01T22:12:57.023712, OPEN, CLOSED
2026-01-01T22:12:58.025415, CLOSED, CLOSED
2026-01-01T22:12:59.026946, CLOSED, OPEN
2026-01-01T22:13:00.028933, CLOSED, CLOSED
2026-01-01T22:13:01.310154, OPEN, CLOSED
2026-01-01T22:13:02.311719, CLOSED, CLOSED
2026-01-01T22:13:03.777133, CLOSED, OPEN
2026-01-01T22:19:18.904152, CLOSED, OPEN
2026-01-01T22:27:06.564702, CLOSED, OPEN
2026-01-01T22:27:12.109272, CLOSED, CLOSED
2026-01-01T22:36:45.236554, CLOSED, OPEN
2026-01-01T22:36:51.824853, CLOSED, CLOSED
2026-01-01T22:37:14.988110, CLOSED, OPEN
2026-01-01T22:37:20.131391, CLOSED, CLOSED
2026-01-01T22:43:26.536143, CLOSED, OPEN
2026-01-01T22:43:27.537564, CLOSED, CLOSED
2026-01-01T22:43:29.534828, CLOSED, OPEN
2026-01-01T22:43:30.537658, CLOSED, CLOSED
2026-01-01T22:43:31.822182, CLOSED, OPEN
2026-01-01T22:43:32.824347, CLOSED, CLOSED
2026-01-01T22:43:34.645408, OPEN, CLOSED
2026-01-01T22:43:35.647354, CLOSED, CLOSED
2026-01-01T22:43:37.254575, CLOSED, OPEN
2026-01-01T22:43:38.256137, CLOSED, CLOSED
2026-01-01T22:43:39.873697, OPEN, CLOSED
2026-01-01T22:43:40.875356, CLOSED, CLOSED
2026-01-01T22:43:42.479162, CLOSED, OPEN
2026-01-01T22:43:43.480524, CLOSED, CLOSED
2026-01-01T22:43:45.156799, CLOSED, OPEN
2026-01-01T22:43:46.159992, CLOSED, CLOSED
2026-01-01T23:20:54.392832, CLOSED, CLOSED
2026-01-01T23:20:54.393293, CLOSED, OPEN
2026-01-02T10:52:54.448497, CLOSED, OPEN
2026-01-02T10:52:55.458571, CLOSED, CLOSED
2026-01-02T11:01:50.194322, CLOSED, OPEN
2026-01-02T11:01:51.728029, CLOSED, CLOSED
2026-01-02T11:01:52.729789, CLOSED, OPEN
2026-01-02T11:01:56.135604, CLOSED, CLOSED
2026-01-02T11:04:38.881438, CLOSED, OPEN
2026-01-02T11:04:39.882925, CLOSED, CLOSED
2026-01-02T11:06:57.989364, CLOSED, CLOSED
2026-01-02T11:06:57.990068, CLOSED, OPEN
2026-01-02T11:07:09.883441, CLOSED, CLOSED
2026-01-02T11:20:21.530862, CLOSED, OPEN
2026-01-02T11:20:24.326052, CLOSED, CLOSED
2026-01-02T11:20:25.327704, CLOSED, OPEN
2026-01-02T11:20:27.155378, CLOSED, CLOSED
2026-01-02T11:23:36.910350, OPEN, CLOSED
2026-01-02T11:23:45.424017, OPEN, CLOSED
2026-01-02T11:23:57.771555, CLOSED, CLOSED
2026-01-02T11:23:58.774792, OPEN, CLOSED
2026-01-02T11:24:00.449508, CLOSED, CLOSED
2026-01-02T11:24:02.401129, OPEN, CLOSED
2026-01-02T11:24:03.402716, CLOSED, CLOSED
2026-01-02T14:53:55.928967, CLOSED, OPEN
2026-01-02T14:53:59.343108, CLOSED, CLOSED
2026-01-02T15:55:42.931758, CLOSED, OPEN
2026-01-02T15:55:45.100240, CLOSED, CLOSED
2026-01-02T15:55:46.452088, CLOSED, OPEN
2026-01-02T15:55:47.454480, CLOSED, CLOSED
2026-01-02T16:05:34.663327, CLOSED, OPEN
2026-01-02T16:05:35.664964, CLOSED, CLOSED
2026-01-02T16:05:37.394648, CLOSED, OPEN
2026-01-02T16:05:38.396088, CLOSED, CLOSED
2026-01-02T16:05:39.785139, OPEN, CLOSED
2026-01-02T16:05:40.786642, CLOSED, CLOSED
2026-01-02T16:08:00.526138, CLOSED, OPEN
2026-01-02T16:08:01.527577, CLOSED, CLOSED
2026-01-02T16:08:03.440198, CLOSED, OPEN
2026-01-02T16:08:04.442890, CLOSED, CLOSED
2026-01-02T16:11:57.391948, CLOSED, OPEN
2026-01-02T16:11:59.574918, CLOSED, CLOSED
2026-01-02T16:12:01.145387, CLOSED, OPEN
2026-01-02T16:12:02.148401, CLOSED, CLOSED
2026-01-02T16:12:03.758960, CLOSED, OPEN
2026-01-02T16:12:07.662892, CLOSED, CLOSED
2026-01-02T16:12:08.993705, OPEN, CLOSED
2026-01-02T16:21:16.756817, CLOSED, OPEN
2026-01-02T16:21:17.758879, CLOSED, CLOSED
2026-01-02T16:32:24.198263, CLOSED, OPEN
2026-01-02T16:32:25.199845, CLOSED, CLOSED
2026-01-02T16:41:00.542574, OPEN, CLOSED
2026-01-02T16:41:01.460473, OPEN, CLOSED
2026-01-02T16:41:56.492638, OPEN, CLOSED
2026-01-02T16:41:57.065847, OPEN, CLOSED
2026-01-02T16:48:52.028649, OPEN, CLOSED
2026-01-02T16:48:52.757809, OPEN, CLOSED
2026-01-02T16:49:13.514474, OPEN, CLOSED
2026-01-02T16:49:14.068896, OPEN, CLOSED
2026-01-02T16:49:35.809752, OPEN, CLOSED
2026-01-02T16:49:36.368267, OPEN, CLOSED
2026-01-02T16:50:55.711753, OPEN, CLOSED
2026-01-02T16:50:56.265635, OPEN, CLOSED
2026-01-02T16:51:11.338779, OPEN, CLOSED
2026-01-02T16:51:11.957862, OPEN, CLOSED
2026-01-02T16:51:41.464894, OPEN, CLOSED
2026-01-02T16:51:41.939473, OPEN, CLOSED
2026-01-02T16:52:55.504946, OPEN, CLOSED
2026-01-02T16:52:56.603575, OPEN, CLOSED
2026-01-02T16:57:21.547873, OPEN, CLOSED
2026-01-02T16:57:22.328342, OPEN, CLOSED
2026-01-02T16:59:35.247008, OPEN, CLOSED
2026-01-02T16:59:35.994904, OPEN, CLOSED
2026-01-02T17:00:46.689564, OPEN, CLOSED
2026-01-02T17:00:47.249581, OPEN, CLOSED
2026-01-02T17:01:57.303988, OPEN, CLOSED
2026-01-02T17:01:57.903415, OPEN, CLOSED
2026-01-02T17:04:13.063238, OPEN, CLOSED
2026-01-02T17:04:13.565613, OPEN, CLOSED
2026-01-02T17:04:18.729863, CLOSED, CLOSED
2026-01-02T17:04:20.357784, OPEN, CLOSED
2026-01-02T17:04:21.358810, CLOSED, CLOSED
2026-01-02T17:04:22.499516, OPEN, CLOSED
2026-01-02T17:04:23.500937, CLOSED, CLOSED
2026-01-02T17:08:48.200910, OPEN, CLOSED
2026-01-02T17:08:56.047972, OPEN, CLOSED
2026-01-02T17:58:45.554742, OPEN, CLOSED
2026-01-02T17:58:53.934526, OPEN, CLOSED
